Gender,Department,Age,Energetic_level,Job_inspiring,Sense_of_fulfilment,Happy,Accept_challenges,Recognition,Belonging_to_org,Concern_About_img_of_org,Recommend_to_other,Quiting_Thought,New_job_plan,Looking_job_change,Stay_in_fututre,wish_to_leave_org,Stressful_manager,Being_here_and_now,Employee_Engagement,Employee_Retention
Female,F&B Service,Age between 20 and 25,Agree,Disgree,Niether Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disgree,Agree,Agree,Strongly Agree,Disgree,Strongly DIsagree,Niether Agree nor Disagree,Niether Agree nor Disagree,3.5555555555555554,2.6666666666666665
Female,Sales & Marketing,Age between 26 and 30,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disgree,Disgree,Niether Agree nor Disagree,Disgree,Disgree,Disgree,Disgree,Agree,Disgree,3.4444444444444446,3.5
Female,Security,Age between 26 and 30,Strongly Agree,Niether Agree nor Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Niether Agree nor Disagree,Disgree,Niether Agree nor Disagree,Disgree,Niether Agree nor Disagree,Strongly Agree,Agree,Strongly DIsagree,Strongly Agree,Strongly Agree,3.0,2.5
Female,Sales & Marketing,Age between 20 and 25,Disgree,Strongly Agree,Disgree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Niether Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly DIsagree,Strongly Agree,Strongly DIsagree,Disgree,Disgree,Disgree,3.111111111111111,3.1666666666666665
Female,Security,Age between 31 and 35,Agree,Agree,Agree,Disgree,Strongly Disagree,Niether Agree nor Disagree,Disgree,Niether Agree nor Disagree,Disgree,Agree,Disgree,Disgree,Agree,Agree,Strongly DIsagree,Niether Agree nor Disagree,2.7777777777777777,3.3333333333333335
Male,House Keeping,Age between 31 and 35,Strongly Agree,Disgree,Strongly Agree,Strongly Agree,Disgree,Strongly Agree,Niether Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly DIsagree,Disgree,Disgree,Niether Agree nor Disagree,Strongly DIsagree,Disgree,Strongly DIsagree,3.6666666666666665,4.5
Male,F&B production,Age between 36 and 40,Strongly Disagree,Strongly Disagree,Disgree,Disgree,Strongly Disagree,Niether Agree nor Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Disgree,Strongly Agree,Niether Agree nor Disagree,Niether Agree nor Disagree,Disgree,Disgree,2.111111111111111,2.8333333333333335
Female,Finance,Age between 26 and 30,Disgree,Niether Agree nor Disagree,Agree,Disgree,Strongly Agree,Disgree,Agree,Niether Agree nor Disagree,Strongly Disagree,Disgree,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,2.888888888888889,2.3333333333333335
Male,House Keeping,Age between 36 and 40,Strongly Agree,Strongly Disagree,Disgree,Disgree,Strongly Disagree,Niether Agree nor Disagree,Niether Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Disgree,Strongly DIsagree,Niether Agree nor Disagree,Disgree,Strongly DIsagree,2.7777777777777777,3.1666666666666665
Male,F&B Service,Age between 20 and 25,Disgree,Agree,Agree,Strongly Disagree,Niether Agree nor Disagree,Disgree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly DIsagree,Niether Agree nor Disagree,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly Agree,Niether Agree nor Disagree,Agree,2.5555555555555554,2.8333333333333335
Female,F&B Service,Age between 36 and 40,Niether Agree nor Disagree,Disgree,Agree,Niether Agree nor Disagree,Niether Agree nor Disagree,Niether Agree nor Disagree,Disgree,Niether Agree nor Disagree,Agree,Agree,Disgree,Strongly DIsagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,3.0,2.5
Male,Sales & Marketing,Age Greater than 40,Strongly Disagree,Disgree,Niether Agree nor Disagree,Strongly Agree,Strongly Disagree,Agree,Niether Agree nor Disagree,Strongly Disagree,Niether Agree nor Disagree,Strongly DIsagree,Strongly DIsagree,Niether Agree nor Disagree,Disgree,Strongly DIsagree,Strongly DIsagree,Agree,2.5555555555555554,4.166666666666667
Female,Human Resouces,Age between 26 and 30,Strongly Disagree,Agree,Disgree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Niether Agree nor Disagree,Strongly DIsagree,Strongly Agree,Agree,Strongly DIsagree,Niether Agree nor Disagree,3.0,3.3333333333333335
Male,Sales & Marketing,Age between 31 and 35,Disgree,Disgree,Niether Agree nor Disagree,Agree,Strongly Agree,Disgree,Disgree,Strongly Disagree,Strongly Agree,Agree,Agree,Disgree,Strongly DIsagree,Strongly Agree,Niether Agree nor Disagree,Agree,2.888888888888889,2.3333333333333335
Female,Security,Age between 26 and 30,Strongly Disagree,Strongly Disagree,Niether Agree nor Disagree,Strongly Agree,Niether Agree nor Disagree,Agree,Niether Agree nor Disagree,Agree,Strongly Disagree,Niether Agree nor Disagree,Niether Agree nor Disagree,Niether Agree nor Disagree,Disgree,Strongly DIsagree,Niether Agree nor Disagree,Agree,2.7777777777777777,3.1666666666666665
Female,F&B Service,Age Greater than 40,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly Disagree,Disgree,Niether Agree nor Disagree,Strongly DIsagree,Strongly Agree,Strongly Agree,Disgree,Strongly DIsagree,Niether Agree nor Disagree,2.7777777777777777,3.5
Male,F&B Service,Age Greater than 40,Niether Agree nor Disagree,Strongly Disagree,Niether Agree nor Disagree,Strongly Disagree,Agree,Strongly Disagree,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Niether Agree nor Disagree,Disgree,Strongly Agree,Strongly Agree,2.2222222222222223,1.8333333333333333
Female,Security,Age between 20 and 25,Disgree,Strongly Agree,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly Agree,Agree,Disgree,Niether Agree nor Disagree,Agree,Niether Agree nor Disagree,Strongly Agree,Disgree,Disgree,Agree,Niether Agree nor Disagree,Disgree,3.4444444444444446,2.8333333333333335
Female,F&B Service,Age between 36 and 40,Niether Agree nor Disagree,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly Agree,Agree,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly Disagree,Disgree,Strongly DIsagree,Agree,Agree,Strongly Agree,Niether Agree nor Disagree,Niether Agree nor Disagree,Agree,3.0,2.8333333333333335
Female,Security,Age between 31 and 35,Agree,Strongly Disagree,Disgree,Strongly Agree,Disgree,Disgree,Strongly Agree,Niether Agree nor Disagree,Strongly Agree,Agree,Strongly DIsagree,Niether Agree nor Disagree,Agree,Disgree,Disgree,Agree,3.2222222222222223,3.3333333333333335
Female,Human Resouces,Age between 20 and 25,Agree,Agree,Strongly Disagree,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly Agree,Strongly Agree,Disgree,Disgree,Strongly Agree,Strongly DIsagree,Strongly DIsagree,Niether Agree nor Disagree,Niether Agree nor Disagree,Disgree,Disgree,3.2222222222222223,3.6666666666666665
Male,F&B Service,Age between 26 and 30,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly Disagree,Niether Agree nor Disagree,Disgree,Niether Agree nor Disagree,Disgree,Niether Agree nor Disagree,Disgree,Disgree,Strongly Agree,Agree,Disgree,Niether Agree nor Disagree,Disgree,Disgree,2.4444444444444446,3.0
Male,F&B Service,Age between 26 and 30,Niether Agree nor Disagree,Niether Agree nor Disagree,Disgree,Disgree,Niether Agree nor Disagree,Strongly Agree,Niether Agree nor Disagree,Agree,Strongly Agree,Disgree,Disgree,Disgree,Niether Agree nor Disagree,Strongly Agree,Disgree,Disgree,3.3333333333333335,3.5
Female,Human Resouces,Age between 26 and 30,Strongly Agree,Strongly Agree,Niether Agree nor Disagree,Disgree,Niether Agree nor Disagree,Strongly Agree,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly Disagree,Niether Agree nor Disagree,Agree,Strongly DIsagree,Niether Agree nor Disagree,Agree,Disgree,Agree,3.3333333333333335,3.0
Male,Finance,Age between 26 and 30,Niether Agree nor Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Niether Agree nor Disagree,Strongly Disagree,Niether Agree nor Disagree,Disgree,Disgree,Agree,Niether Agree nor Disagree,Strongly Agree,Niether Agree nor Disagree,Disgree,2.3333333333333335,3.0
Male,Human Resouces,Age Greater than 40,Disgree,Niether Agree nor Disagree,Agree,Strongly Disagree,Disgree,Agree,Agree,Strongly Agree,Strongly Agree,Niether Agree nor Disagree,Agree,Strongly Agree,Strongly DIsagree,Niether Agree nor Disagree,Agree,Agree,3.3333333333333335,2.1666666666666665
Female,Security,Age Greater than 40,Agree,Strongly Disagree,Disgree,Strongly Disagree,Niether Agree nor Disagree,Disgree,Strongly Agree,Agree,Niether Agree nor Disagree,Agree,Strongly DIsagree,Disgree,Niether Agree nor Disagree,Agree,Niether Agree nor Disagree,Strongly Agree,2.7777777777777777,2.8333333333333335
Male,Sales & Marketing,Age between 31 and 35,Disgree,Agree,Strongly Agree,Strongly Disagree,Niether Agree nor Disagree,Agree,Disgree,Disgree,Strongly Agree,Strongly Agree,Strongly DIsagree,Niether Agree nor Disagree,Strongly DIsagree,Agree,Strongly Agree,Niether Agree nor Disagree,3.111111111111111,2.5
Male,House Keeping,Age between 36 and 40,Strongly Agree,Strongly Disagree,Niether Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disgree,Strongly Disagree,Agree,Niether Agree nor Disagree,Disgree,Niether Agree nor Disagree,Strongly DIsagree,Niether Agree nor Disagree,Strongly DIsagree,3.0,3.6666666666666665
Female,Human Resouces,Age between 36 and 40,Disgree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Niether Agree nor Disagree,Niether Agree nor Disagree,Agree,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly DIsagree,Disgree,Agree,Niether Agree nor Disagree,3.5555555555555554,2.8333333333333335
