Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,HeadquartersCity,HeadquartersState
38,Humana,HUM,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,4,yes,no,no,yes,yes,no,67600,41796.7,106374,14.5,2489,-11.3,47065,James A. Rechtin,Louisville,Kentucky
39,State Farm Insurance,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,5,yes,no,no,yes,no,no,65054,,104198.6,16.6,-6272.3,,339484.7,Michael L. Tipsord,Bloomington,Illinois
40,Tesla,TSLA,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,yes,no,yes,10,yes,no,no,yes,no,no,140473,559854.3,96773,18.8,14997,19.4,106618,Elon Musk,Austin,Texas
41,Morgan Stanley,MS,Financials,Commercial Banks,yes,no,no,no,20,yes,no,no,yes,yes,no,80006,153976.9,96194,45.9,9087,-17.6,1193693,Edward N. Pick,New York,New York
42,Johnson & Johnson,JNJ,Health Care,Pharmaceuticals,yes,no,no,no,-2,no,yes,no,yes,yes,no,131900,381203.6,95195,0.3,35153,95.9,167558,Joaquin Duato,New Brunswick,New Jersey
43,Archer Daniels Midland,ADM,"Food, Beverages & Tobacco",Food Production,yes,no,no,no,-8,no,yes,no,yes,yes,no,41008,32023.6,93935,-7.5,3483,-19.7,54631,Juan R. Luciano,Chicago,Illinois
44,PepsiCo,PEP,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,2,yes,no,no,yes,yes,no,318000,240552.8,91471,5.9,9074,1.8,100495,Ramon L. Laguarta,Purchase,New York
45,United Parcel Service,UPS,Transportation,"Mail, Package, and Freight Delivery",yes,no,yes,no,-8,no,yes,no,yes,yes,no,382550,126828.9,90958,-9.3,6708,-41.9,70857,Carol B. Tom?,Atlanta,Georgia
46,FedEx,FDX,Transportation,"Mail, Package, and Freight Delivery",yes,no,no,no,-5,no,yes,no,yes,yes,no,446400,71299.4,90155,-3.6,3972,3.8,87143,Rajesh Subramaniam,Memphis,Tennessee
47,Walt Disney,DIS,Media,Entertainment,yes,no,no,yes,1,yes,no,no,yes,yes,no,199125,224445.2,88898,7.5,2354,-25.2,205579,Robert A. Iger,Burbank,California
48,Dell Technologies,DELL,Technology,"Computers, Office Equipment",yes,yes,no,no,-14,no,yes,no,yes,yes,no,120000,81450.6,88425,-13.6,3211,31.5,82089,Michael S. Dell,Round Rock,Texas
49,Lowe's,LOW,Retailing,Specialty Retailers: Other,yes,no,no,no,-10,no,yes,no,yes,yes,no,226000,145752.5,86377,-11,7726,20,41795,Marvin R. Ellison,Mooresville,North Carolina
50,Procter & Gamble,PG,Household Products,Household and Personal Products,yes,no,no,yes,1,yes,no,no,yes,yes,no,107000,381777.7,82006,2.3,14653,-0.6,120829,Jon R. Moeller,Cincinnati,Ohio
51,Energy Transfer,ET,Energy,Pipelines,yes,no,no,yes,-8,no,yes,no,yes,no,no,13786,52974.8,78586,-12.6,3935,-17.3,113698,Thomas E. Long/Marshall S. McCrea III,Dallas,Texas
52,Boeing,BA,Aerospace & Defense,Aerospace & Defense,no,no,no,yes,6,yes,no,no,yes,yes,no,171000,117750,77794,16.8,-2222,,137012,Kelly K. Ortberg,Arlington,Virginia
53,Albertsons,ACI,Food & Drug Stores,Food & Drug Stores,yes,no,no,yes,0,no,no,no,yes,no,no,198650,12350.3,77649.7,8,1513.5,-6.6,26168.2,Vivek Sankaran,Boise,Idaho
54,Sysco,SYY,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,2,yes,no,no,yes,no,no,71750,40413.8,76324.7,11.2,1770.1,30.3,22821.1,Kevin P. Hourican,Houston,Texas
55,RTX,RTX,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,2,yes,no,no,yes,yes,no,185000,129680.3,68920,2.8,3195,-38.5,161869,Christopher T. Calio,Arlington,Virginia
56,General Electric,GE,Industrials,Industrial Machinery,yes,no,no,no,-4,no,yes,no,yes,no,no,125000,191901.2,67954,-11.2,9481,4113.8,163045,H. Lawrence Culp Jr.,Boston,Massachusetts
57,Lockheed Martin,LMT,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,3,yes,no,no,yes,yes,no,122000,109394.2,67571,2.4,6920,20.7,52456,James D. Taiclet Jr.,Bethesda,Maryland
58,American Express,AXP,Financials,Diversified Financials,yes,no,no,no,19,yes,no,no,yes,yes,yes,74600,163945.6,67364,21.1,8374,11.4,261108,Stephen J. Squeri,New York,New York
59,Caterpillar,CAT,Industrials,Construction and Farm Machinery,yes,no,no,yes,9,yes,no,no,yes,yes,no,113200,182986.8,67060,12.8,10335,54.1,87476,D. James Umpleby III,Irving,Texas
60,MetLife,MET,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,-6,no,yes,no,yes,yes,yes,45000,53583,66905,-4.3,1578,-37.8,687584,Michel A. Khalaf,New York,New York
61,HCA Healthcare,HCA,Health Care,Health Care: Medical Facilities,yes,no,no,yes,5,yes,no,no,yes,yes,no,265000,88213.8,64968,7.9,5242,-7.1,56211,Samuel N. Hazen,Nashville,Tennessee
62,Progressive,PGR,Financials,Insurance: Property and Casualty (Stock),yes,no,yes,yes,26,yes,no,no,yes,yes,yes,61432,121134.1,62108.5,25.2,3902.4,440.9,88690.8,Susan Patricia  Griffith,Mayfield Village,Ohio
63,IBM,IBM,Technology,Information Technology Services,yes,no,no,no,2,yes,no,no,yes,yes,no,296600,175061.6,61860,2.2,7502,357.7,135241,Arvind Krishna,Armonk,New York
64,Deere,DE,Industrials,Construction and Farm Machinery,yes,no,no,yes,17,yes,no,no,yes,yes,no,82956,114332.9,61251,16.5,10166,42.6,104087,John C. May,Moline,Illinois
65,Nvidia,NVDA,Technology,Semiconductors and Other Electronic Components,yes,yes,no,yes,87,yes,no,no,no,yes,yes,29600,2258900,60922,125.9,29760,581.3,65728,Jensen Huang,Santa Clara,California
66,StoneX Group,SNEX,Financials,Diversified Financials,yes,no,no,yes,-7,no,yes,no,yes,no,no,4137,2216.7,60856.1,-7.8,238.5,15.2,21938.7,Sean M. O'Connor,New York,New York
67,Merck,MRK,Health Care,Pharmaceuticals,yes,no,no,yes,2,yes,no,no,yes,yes,yes,71000,334182.4,60115,1.4,365,-97.5,106675,Robert M. Davis,Rahway,New Jersey
68,ConocoPhillips,COP,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-19,no,yes,no,yes,no,no,9900,149733.3,58574,-28.7,10957,-41.3,95924,Ryan M. Lance,Houston,Texas
69,Pfizer,PFE,Health Care,Pharmaceuticals,yes,no,no,yes,-31,no,yes,no,yes,yes,no,88000,157135.5,58496,-41.7,2119,-93.2,226501,Albert Bourla,New York,New York
70,Delta Air Lines,DAL,Transportation,Airlines,yes,no,no,yes,15,yes,no,no,yes,yes,yes,103000,30795.9,58048,14.8,4609,249.7,73644,Edward H. Bastian,Atlanta,Georgia
71,TD Synnex,SNX,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,no,no,no,-7,no,yes,no,yes,yes,no,28000,9856.6,57555.4,-7.7,626.9,-3.7,29412.8,Patrick  Zammit/Richard T. Hume,Fremont,California
72,Publix Super Markets,PFE,Food & Drug Stores,Food & Drug Stores,yes,no,no,yes,6,yes,no,no,yes,yes,yes,253000,,57534,4.7,4349,49,34384,Kevin S. Murphy,Lakeland,Florida
73,Allstate,ALL,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,11,yes,no,no,yes,yes,no,53200,45513.3,57094,11.1,-188,,103362,Thomas J. Wilson,Northbrook,Illinois
74,Cisco Systems,CSCO,Technology,Network and Other Communications Equipment,yes,no,no,yes,8,yes,no,no,yes,no,yes,84900,202094.9,56998,10.6,12613,6.8,101852,Charles H. Robbins,San Jose,California
75,Nationwide,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,no,8,yes,no,no,yes,no,yes,24118,,54609.4,6.1,-45.2,-104.6,290615,Kirt A. Walker,Columbus,Ohio
76,Charter Communications,CHTR,Telecommunications,Telecommunications,yes,no,no,no,3,yes,no,no,yes,no,no,101100,51316,54607,1.1,4557,-9.9,147193,Christopher L. Winfrey,Stamford,Connecticut
77,AbbVie,ABBV,Health Care,Pharmaceuticals,yes,no,no,no,-4,no,yes,no,yes,yes,yes,50000,322434.8,54318,-6.4,4863,-58.9,134711,Robert A. Michael,North Chicago,Illinois
78,New York Life Insurance,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,-7,no,yes,no,yes,yes,no,15384,,54317.2,-7.1,804.6,,408904.9,Craig DeSanto,New York,New York
79,Intel,INTC,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,-17,no,yes,no,yes,no,no,124800,188026,54228,-14,1689,-78.9,191572,Patrick P. Gelsinger,Santa Clara,California
80,TJX,TJX,Retailing,Specialty Retailers: Apparel,yes,no,no,yes,7,yes,no,no,yes,yes,no,349000,115586,54217,8.6,4474,27.9,29747,Ernie L. Herrman,Framingham,Massachusetts
81,Prudential Financial,PRU,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-14,no,yes,no,yes,yes,no,40366,42191.2,53979,-10.1,2488,,721123,Charles F. Lowrey,Newark,New Jersey
82,HP,HPQ,Technology,"Computers, Office Equipment",yes,no,no,no,-19,no,yes,no,yes,yes,yes,58000,29569.7,53718,-14.6,3263,4.2,37004,Enrique J. Lores,Palo Alto,California
83,United Airlines Holdings,UAL,Transportation,Airlines,yes,no,no,yes,13,yes,no,no,yes,yes,no,103300,15705.9,53717,19.5,2618,255.2,71104,J. Scott Kirby,Chicago,Illinois
84,Performance Food Group,PFGC,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,no,7,yes,no,no,yes,no,no,34825,11612.9,53354.7,13.1,397.2,253.1,12499,George L. Holm,Richmond,Virginia
85,Tyson Foods,TSN,"Food, Beverages & Tobacco",Food Production,no,no,no,no,-5,no,yes,no,yes,no,no,139000,20928.3,52881,-0.8,-648,-120,36251,Donnie D. King,Springdale,Arkansas
86,American Airlines Group,AAL,Transportation,Airlines,yes,no,no,yes,3,yes,no,no,yes,no,no,132100,10050.5,52788,7.8,822,547.2,63058,Robert D. Isom,Fort Worth,Texas
87,Liberty Mutual Insurance Group,,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,-1,no,yes,no,yes,no,no,45000,,52612,5.3,213,-48.6,165208,Timothy M. Sweeney,Boston,Massachusetts
88,Nike,NKE,Apparel,Apparel,yes,no,no,yes,5,yes,no,no,yes,yes,no,83700,142391.2,51217,9.6,5070,-16.1,37531,John J. Donahoe II,Beaverton,Oregon
89,Oracle,ORCL,Technology,Computer Software,yes,no,yes,yes,12,yes,no,no,yes,yes,no,164000,345240.8,49954,17.7,8503,26.6,134384,Safra A. Catz,Austin,Texas
90,Enterprise Products Partners,EPD,Energy,Pipelines,yes,no,no,yes,-18,no,yes,no,yes,no,no,7500,63269.4,49715,-14.6,5532,0.8,70982,A. James Teague/W. Randall Fowler,Houston,Texas
91,Capital One Financial,COF,Financials,Commercial Banks,yes,yes,no,no,15,yes,no,no,yes,yes,yes,51987,56891.2,49484,29,4887,-33.6,478464,Richard D. Fairbank,McLean,Virginia
92,Plains GP Holdings,PAGP,Energy,Pipelines,yes,no,no,yes,-18,no,yes,no,yes,no,no,4200,3597.5,48712,-15.1,198,17.9,28597,Wilfred C.W. Chiang,Houston,Texas
93,World Kinect,WKC,Energy,Energy,yes,no,no,yes,-23,no,yes,no,yes,no,no,5289,1583,47710.6,-19.2,52.9,-53.6,7375.3,Michael J. Kasbar,Miami,Florida
94,AIG,AIG,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,-18,no,yes,no,yes,no,no,25200,53230.1,46802,-17.1,3643,-64.5,539306,Peter S. Zaffino,New York,New York
95,Coca-Cola,KO,"Food, Beverages & Tobacco",Beverages,yes,no,no,no,5,yes,no,no,yes,yes,no,79100,263758.6,45754,6.4,10714,12.3,97703,James R. Quincey,Atlanta,Georgia
96,TIAA,,Financials,"Insurance: Life, Health (Mutual)",no,no,yes,no,7,yes,no,no,yes,yes,no,16023,,45734.8,11.8,-1408.9,-385.4,629369.9,Thasunda Brown Duckett,New York,New York
97,CHS,,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,-7,no,yes,no,yes,no,no,10609,,45590,-4.6,1900.4,13.2,18957.4,Jay D. Debertin,Inver Grove Heights,Minnesota
98,Bristol-Myers Squibb,BMY,Health Care,Pharmaceuticals,yes,no,no,no,-3,no,yes,no,yes,yes,no,34100,109911.1,45006,-2.5,8025,26.8,95159,Christopher S. Boerner,Princeton,New Jersey
99,Dow,DOW,Chemicals,Chemicals,yes,no,no,no,-24,no,yes,no,yes,yes,yes,35900,40740.3,44622,-21.6,589,-87.1,57967,James R. Fitterling,Midland,Michigan
100,Best Buy,BBY,Retailing,Specialty Retailers: Other,yes,no,yes,yes,-6,no,yes,no,yes,yes,no,85000,17667.7,43452,-6.1,1241,-12.5,14967,Corie S. Barry,Richfield,Minnesota
101,Thermo Fisher Scientific,TMO,Technology,"Scientific,Photographic and  Control Equipment",yes,no,no,no,-4,no,yes,no,yes,yes,no,122000,221622.5,42857,-4.6,5995,-13.7,98726,Marc N. Casper,Waltham,Massachusetts
102,Massachusetts Mutual Life Insurance,,Financials,"Insurance: Life, Health (Mutual)",no,no,no,yes,2,yes,no,no,yes,yes,no,11323,,42641.4,5.9,-771.6,-152,397895,Roger W. Crandall,Springfield,Massachusetts
103,USAA,,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,11,yes,no,no,yes,yes,no,37376,,42493.4,17.1,1213.5,,211637.6,Wayne Peacock,San Antonio,Texas
104,General Dynamics,GD,Aerospace & Defense,Aerospace & Defense,yes,no,yes,yes,1,yes,no,no,yes,yes,no,111600,77506.3,42272,7.3,3315,-2.2,54810,Phebe N. Novakovic,Reston,Virginia
105,Travelers,TRV,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,7,yes,no,no,yes,yes,no,33133,52731,41364,12.1,2991,5.2,125978,Alan D. Schnitzer,New York,New York
106,Warner Bros. Discovery,WBD,Media,Entertainment,no,no,no,no,12,yes,no,no,yes,no,no,35300,21298.5,41321,22.2,-3126,,122757,David M. Zaslav,New York,New York
107,U.S. Bancorp,USB,Financials,Commercial Banks,yes,no,no,no,42,yes,no,no,no,yes,no,75465,69656.5,40624,48.3,5429,-6.8,663491,Andrew J. Cecere,Minneapolis,Minnesota
108,Abbott Laboratories,ABT,Health Care,Medical Products and Equipment,yes,no,no,no,-9,no,yes,no,yes,yes,no,114000,197221,40109,-8.1,5723,-17.5,73214,Robert B. Ford,Abbott Park,Illinois
109,Northrop Grumman,NOC,Aerospace & Defense,Aerospace & Defense,yes,no,yes,yes,4,yes,no,no,yes,yes,no,101000,70908.8,39290,7.3,2056,-58,46544,Kathy J. Warden,Falls Church,Virginia
110,Northwestern Mutual,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,no,1,yes,no,no,yes,yes,no,8239,,38788.1,5.1,711.4,-22,358828.6,John E. Schlifske,Milwaukee,Wisconsin
111,Dollar General,DG,Retailing,Specialty Retailers: Other,yes,no,no,yes,-3,no,yes,no,yes,no,no,185800,34281.9,38691.6,2.2,1661.3,-31.2,30795.6,Todd J. Vasos,Goodlettsville,Tennessee
112,PBF Energy,PBF,Energy,Petroleum Refining,yes,no,no,yes,-20,no,yes,no,yes,no,no,3776,6860.3,38324.8,-18.2,2140.5,-25.6,14387.8,Matthew C. Lucey,Parsippany,New Jersey
113,Uber Technologies,UBER,Technology,Internet Services and Retailing,yes,no,no,no,14,yes,no,no,yes,yes,no,30400,160258.1,37281,17,1887,,38699,Dara Khosrowshahi,San Francisco,California
114,Honeywell International,HON,Industrials,Industrial Machinery,yes,no,no,no,1,yes,no,no,yes,yes,no,95000,133860.3,36662,3.4,5658,13.9,61525,Vimal Kapur,Charlotte,North Carolina
115,Mondelez International,MDLZ,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,16,yes,no,no,yes,yes,no,91000,94253.4,36016,14.4,4959,82.5,71391,Dirk Van de Put,Chicago,Illinois
116,Starbucks,SBUX,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,no,9,yes,no,no,yes,yes,no,381000,103471.8,35975.6,11.6,4124.5,25.7,29445.5,Rachel Ruggeri,Seattle,Washington
117,Qualcomm,QCOM,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,-19,no,yes,no,yes,yes,no,50000,188938.8,35820,-19,7232,-44.1,51040,Cristiano R. Amon,San Diego,California
118,Broadcom,AVGO,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,5,yes,no,no,yes,no,no,20000,614223.1,35819,7.9,14082,22.5,72861,Hock E. Tan,Palo Alto,California
119,US Foods Holding,USFD,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,-2,no,yes,no,yes,no,no,30000,13217.4,35597,4.5,506,90.9,13187,David E. Flitman,Rosemont,Illinois
120,D.R. Horton,DHI,Engineering & Construction,Homebuilders,yes,no,no,yes,0,no,no,no,yes,yes,no,13450,54600.5,35460.4,5.9,4745.7,-19,32582.4,Paul J. Romanowski,Arlington,Texas
121,Philip Morris International,PM,"Food, Beverages & Tobacco",Tobacco,yes,no,no,yes,7,yes,no,no,yes,no,no,82700,142428,35174,10.7,7813,-13.6,65304,Jacek Olczak,Stamford,Connecticut
122,Paccar,PCAR,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,18,yes,no,no,no,no,no,32400,64919.7,35127.4,21.9,4600.8,52.8,40823.4,R. Preston Feight,Bellevue,Washington
123,Salesforce,CRM,Technology,Computer Software,yes,yes,no,no,10,yes,no,no,yes,yes,yes,72682,292144.6,34857,11.2,4136,1888.5,99823,Marc R. Benioff,San Francisco,California
124,Nucor,NUE,Materials,Metals,yes,no,no,yes,-22,no,yes,no,yes,yes,no,32000,47492,34713.5,-16.4,4524.8,-40.5,35340.5,Leon J. Topalian,Charlotte,North Carolina
125,Jabil,JBL,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,-4,no,yes,no,yes,yes,no,236000,17084.7,34702,3.7,818,-17.9,19424,Michael K. Dastoor,St. Petersburg,Florida
126,Lennar,LEN,Engineering & Construction,Homebuilders,yes,no,no,yes,-7,no,yes,no,yes,yes,no,12284,47374.8,34233.4,1.7,3938.5,-14.6,39234.3,Jonathan M. Jaffe/Stuart A. Miller,Miami,Florida
127,Eli Lilly,LLY,Health Care,Pharmaceuticals,yes,no,no,yes,15,yes,no,no,no,yes,no,43000,739658,34124.1,19.6,5240.4,-16.1,64006.3,David A. Ricks,Indianapolis,Indiana
128,Molina Healthcare,MOH,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,-2,no,yes,no,yes,yes,no,18000,24068,34072,6.6,1091,37.8,14892,Joseph M. Zubretsky,Long Beach,California
129,Cummins,CMI,Industrials,Industrial Machinery,yes,no,yes,yes,17,yes,no,no,no,yes,no,75500,41798.1,34065,21.3,735,-65.8,32005,Jennifer Rumsey,Columbus,Indiana
130,Bank of New York Mellon,BK,Financials,Commercial Banks,yes,no,no,yes,71,yes,no,no,no,yes,no,53400,43380.4,33805,69.1,3286,27.7,409953,Robin Vince,New York,New York
131,Netflix,NFLX,Media,Entertainment,yes,no,no,yes,-2,no,yes,no,yes,yes,no,13000,262827.9,33723.3,6.7,5408,20.4,48732,Ted Sarandos/Gregory K. Peters,Los Gatos,California
132,Truist Financial,TFC,Financials,Commercial Banks,no,no,no,no,25,yes,no,no,no,no,no,49935,52022.4,33246,31.1,-1091,-117.4,535349,William H. Rogers Jr.,Charlotte,North Carolina
